pair,client_timestamp,ask,bid,last,volume,vwap_today,num_trades_today,low_today,high_today
ETHUSD,1683807316937,1829.32,1829.31,1829.31,5892.15437781,1828.38378,4243,1810.65,1842.36
ETHUSD,1683807331696,1829.32,1829.31,1829.31,5892.15437781,1828.38378,4243,1810.65,1842.36
ETHUSD,1683807387047,1829.32,1829.31,1829.31,5892.17437781,1828.38379,4245,1810.65,1842.36
ETHUSD,1683807402876,1829.32,1829.31,1829.32,5892.18537781,1828.38379,4246,1810.65,1842.36
ETHUSD,1683807550344,1830.01,1830,1830.74,5904.27067718,1828.39166,4270,1810.65,1842.36
ETHUSD,1683807586843,1830.03,1829.87,1829.87,5904.30767184,1828.39166,4272,1810.65,1842.36
ETHUSD,1683807652460,1830.08,1829.77,1829.53,5904.35732538,1828.39167,4273,1810.65,1842.36
ETHUSD,1683807678444,1829.63,1829.45,1829.92,5904.45804538,1828.3917,4274,1810.65,1842.36
ETHUSD,1683807829656,1829.32,1829.31,1829.33,5904.50484538,1828.39171,4278,1810.65,1842.36
ETHUSD,1683812555605,1822.77,1822.36,1823.46,7405.50507632,1827.1652,5129,1810.65,1842.36
ETHUSD,1683812586490,1823.06,1822.32,1822.77,7405.51507632,1827.1652,5130,1810.65,1842.36
ETHUSD,1683817078023,1797.71,1797.34,1797.59,10890.2411891,1819.65013,6500,1783.68,1842.36
ETHUSD,1683817188619,1798,1797.67,1797.95,10923.75748449,1819.58421,6520,1783.68,1842.36
ETHUSD,1683818404488,1798.96,1798.95,1798.96,11836.59479897,1818.24303,6796,1783.68,1842.36
ETHUSD,1683819621467,1807.33,1807.32,1807.33,12073.88629066,1818.01077,7060,1783.68,1842.36
ETHUSD,1683820945521,1806.45,1806.44,1806.39,12212.89479305,1817.87886,7203,1783.68,1842.36
ETHUSD,1683822165500,1809.99,1809.98,1809.99,12304.75173798,1817.80221,7337,1783.68,1842.36
ETHUSD,1683823380784,1806.83,1806.74,1806.75,12393.24087543,1817.72303,7441,1783.68,1842.36
ETHUSD,1683824599767,1803.38,1803.37,1803.38,12700.04071629,1817.48681,7616,1783.68,1842.36
ETHUSD,1683825817301,1790.57,1790.01,1790.18,12951.22802474,1817.04779,7920,1783.68,1842.36
ETHUSD,1683827032036,1779.78,1779.56,1780.52,16938.13360682,1808.14929,9115,1770.71,1842.36
ETHUSD,1683828250320,1784.14,1783.72,1783.88,18092.07994337,1806.51914,9440,1770.71,1842.36
ETHUSD,1683829465076,1784.12,1784.11,1784.1,18174.62710421,1806.40551,9581,1770.71,1842.36
ETHUSD,1683830685232,1787.03,1787.02,1787.03,18919.5787398,1805.61041,9892,1770.71,1842.36
ETHUSD,1683831909224,1788.69,1788.61,1787.94,19778.65484867,1804.87811,10226,1770.71,1842.36
ETHUSD,1683833132482,1790.5,1790.22,1790.59,19944.98567805,1804.77895,10457,1770.71,1842.36
ETHUSD,1683834354969,1783.35,1782.63,1780.97,20973.44131817,1803.73548,10772,1770.71,1842.36
ETHUSD,1683835573136,1785.54,1785.34,1785.63,21212.08636073,1803.50424,10928,1770.71,1842.36
ETHUSD,1683836788793,1789.54,1789.33,1789.52,21277.83403497,1803.45683,11023,1770.71,1842.36
ETHUSD,1683838003427,1796.43,1796.15,1796.15,21538.14784769,1803.32557,11171,1770.71,1842.36
ETHUSD,1683839217585,1797.46,1797.43,1797.15,21796.49219805,1803.24964,11377,1770.71,1842.36
ETHUSD,1683840433739,1795.6,1795.59,1795.6,21884.05798431,1803.22074,11480,1770.71,1842.36
ETHUSD,1683841678077,1796.47,1796.39,1795.43,21903.64614011,1803.21405,11545,1770.71,1842.36
ETHUSD,1683842894516,1796.36,1796.35,1796.36,21957.09562409,1803.19504,11644,1770.71,1842.36
ETHUSD,1683844110275,1797.52,1797.51,1797.52,22040.02112899,1803.17193,11788,1770.71,1842.36
ETHUSD,1683845324874,1790.88,1790.87,1792.27,25226.03291909,1801.6468,12028,1770.71,1842.36
ETHUSD,1683846540667,1787.28,1787.27,1787.43,25262.11611662,1801.63084,12112,1770.71,1842.36
ETHUSD,1683847756451,1791,1790.99,1791.2,25298.05146614,1801.61344,12205,1770.71,1842.36
ETHUSD,1683848977231,1798.13,1797.87,1798.3,25401.21005993,1801.59964,12297,1770.71,1842.36
ETHUSD,1683850195680,1793.77,1793.65,1793.79,224.23765247,1793.81422,40,1792.87,1796.5
ETHUSD,1683851414240,1794.06,1794.05,1794.05,302.97107843,1794.26947,127,1792.87,1796.86
ETHUSD,1683852633567,1799.02,1799.01,1799.01,457.96328204,1794.51968,223,1792.5,1799.55
ETHUSD,1683853850072,1799.49,1799.48,1799.48,782.65020995,1796.80396,337,1792.5,1800.65
ETHUSD,1683855068341,1791.01,1791,1791.01,890.58622216,1796.91221,439,1791,1800.7
ETHUSD,1683856285921,1791.18,1791.13,1790.32,1156.56285998,1795.29621,547,1789.13,1800.7
ETHUSD,1683857502649,1789.01,1789,1789,1232.82266294,1794.89289,637,1786.96,1800.7
ETHUSD,1683858718679,1786.99,1786.98,1786.99,2359.82957475,1791.54636,939,1786.66,1800.7
ETHUSD,1683859934383,1782.86,1782.8,1782.8,3669.37994251,1787.46721,1332,1778.42,1800.7
ETHUSD,1683861150801,1767.06,1766.88,1766.82,5214.63594975,1781.59524,1965,1760,1800.7
ETHUSD,1683862403084,1770.69,1770.48,1770.48,5680.49304334,1780.54611,2261,1760,1800.7
ETHUSD,1683863643478,1765.26,1765.24,1765.23,6438.89287006,1778.90232,2474,1760,1800.7
ETHUSD,1683864859859,1762.31,1762.15,1762.52,6990.22820308,1777.42157,2898,1755,1800.7
ETHUSD,1683866076497,1765.11,1764.92,1764.85,7110.49224139,1777.2034,2999,1755,1800.7
ETHUSD,1683867303030,1768.81,1768.59,1768.74,7999.54224053,1776.27738,3167,1755,1800.7
ETHUSD,1683868519011,1765.89,1765.58,1765.55,8071.80315021,1776.19247,3232,1755,1800.7
ETHUSD,1683869735403,1764.64,1764.47,1764.42,8416.67832513,1775.7998,3323,1755,1800.7
ETHUSD,1683870951070,1746.41,1746.13,1745.93,10469.716209,1771.18189,4209,1740,1800.7
