pair,client_timestamp,ask,bid,last,volume,vwap_today,num_trades_today,low_today,high_today
XRPUSD,1683807317999,0.42614,0.42609,0.42623,1916437.57006294,0.42556068,1210,0.42168,0.4307
XRPUSD,1683807333858,0.42622,0.42609,0.42623,1916437.57006294,0.42556068,1210,0.42168,0.4307
XRPUSD,1683807388187,0.42593,0.42579,0.42606,1916692.57006294,0.42556075,1211,0.42168,0.4307
XRPUSD,1683807403659,0.42643,0.42628,0.42606,1916692.57006294,0.42556075,1211,0.42168,0.4307
XRPUSD,1683807551770,0.4259,0.42586,0.42589,1917329.66047294,0.42556085,1214,0.42168,0.4307
XRPUSD,1683807588895,0.42582,0.42574,0.42589,1917329.66047294,0.42556085,1214,0.42168,0.4307
XRPUSD,1683807654480,0.42603,0.426,0.42595,1918248.16508982,0.42556101,1217,0.42168,0.4307
XRPUSD,1683807679603,0.42591,0.42586,0.42601,1922248.16035682,0.42556194,1218,0.42168,0.4307
XRPUSD,1683807832112,0.42553,0.42545,0.42548,1923524.20630047,0.42556196,1222,0.42168,0.4307
XRPUSD,1683812557110,0.42336,0.42327,0.4229,2312065.54105178,0.42517273,1532,0.42101,0.4307
XRPUSD,1683812588232,0.42333,0.42327,0.4229,2312065.54105178,0.42517273,1532,0.42101,0.4307
XRPUSD,1683817079575,0.41944,0.41943,0.41929,2795323.4151698,0.42432573,1878,0.41708,0.4307
XRPUSD,1683817190360,0.41946,0.41939,0.41938,2801210.26046101,0.42431547,1880,0.41708,0.4307
XRPUSD,1683818405924,0.41917,0.41905,0.41871,2919040.52853127,0.42414066,1945,0.41708,0.4307
XRPUSD,1683819623271,0.42029,0.4202,0.42022,3001257.97550456,0.42403163,2023,0.41708,0.4307
XRPUSD,1683820948951,0.41968,0.41963,0.41965,3301545.86643472,0.42361822,2177,0.41708,0.4307
XRPUSD,1683822167921,0.42047,0.42044,0.42067,3367200.13236306,0.42354386,2232,0.41708,0.4307
XRPUSD,1683823384068,0.42052,0.42039,0.42042,3423370.25301392,0.42348873,2287,0.41708,0.4307
XRPUSD,1683824603676,0.41831,0.41826,0.41824,3513263.16728719,0.42337953,2362,0.41708,0.4307
XRPUSD,1683825819035,0.416,0.41581,0.41626,4063876.05306766,0.422239,2548,0.41363,0.4307
XRPUSD,1683827033534,0.41485,0.41471,0.41514,4767865.47112371,0.42104361,2800,0.41218,0.4307
XRPUSD,1683828251802,0.41355,0.4135,0.41319,4969453.58573424,0.42074143,2892,0.41218,0.4307
XRPUSD,1683829466709,0.41303,0.41294,0.41271,5027576.99253471,0.42064718,2947,0.41193,0.4307
XRPUSD,1683830687175,0.41477,0.41476,0.41473,5063923.90105625,0.420598,2994,0.41193,0.4307
XRPUSD,1683831910902,0.41523,0.41511,0.41532,5109030.07938363,0.42055013,3039,0.41193,0.4307
XRPUSD,1683833136252,0.41527,0.41514,0.41516,5120977.26701404,0.42053877,3055,0.41193,0.4307
XRPUSD,1683834356616,0.41478,0.41456,0.41427,5150582.59199411,0.42050957,3095,0.41193,0.4307
XRPUSD,1683835574726,0.41617,0.41616,0.41612,5154062.67507924,0.42050588,3107,0.41193,0.4307
XRPUSD,1683836791308,0.41779,0.41778,0.41778,5197867.3061064,0.42048137,3138,0.41193,0.4307
XRPUSD,1683838004825,0.41845,0.41828,0.41822,5206807.56090286,0.42047723,3169,0.41193,0.4307
XRPUSD,1683839219967,0.4194,0.41936,0.42005,5221167.10263826,0.42047301,3191,0.41193,0.4307
XRPUSD,1683840435112,0.41966,0.41965,0.41966,5226908.17436159,0.4204718,3202,0.41193,0.4307
XRPUSD,1683841679489,0.41998,0.41997,0.41997,5236853.23243329,0.42047098,3214,0.41193,0.4307
XRPUSD,1683842896812,0.42188,0.42179,0.42135,5261476.09445281,0.42047124,3239,0.41193,0.4307
XRPUSD,1683844111713,0.42083,0.42082,0.42104,5380740.59602566,0.42047958,3277,0.41193,0.4307
XRPUSD,1683845326243,0.41997,0.41985,0.4201,5397137.01201389,0.42047896,3298,0.41193,0.4307
XRPUSD,1683846542096,0.4192,0.41907,0.41985,5415271.24994081,0.42047769,3307,0.41193,0.4307
XRPUSD,1683847759677,0.42093,0.42086,0.42092,5454903.66977414,0.42047787,3327,0.41193,0.4307
XRPUSD,1683848980241,0.42215,0.42203,0.42207,5480469.36549505,0.42048491,3352,0.41193,0.4307
XRPUSD,1683850197953,0.42047,0.42039,0.42039,1921.11572589,0.42039564,6,0.42036,0.42084
XRPUSD,1683851417567,0.4199,0.41981,0.41907,110614.0576538,0.41927458,34,0.41907,0.42084
XRPUSD,1683852635884,0.42195,0.42188,0.42129,139013.84090664,0.41966506,51,0.41907,0.42172
XRPUSD,1683853853361,0.42203,0.4219,0.42219,194603.9653349,0.4202127,87,0.41907,0.42219
XRPUSD,1683855070710,0.42073,0.42064,0.42096,197199.47726333,0.42024061,98,0.41907,0.42253
XRPUSD,1683856288323,0.42073,0.42072,0.42073,198764.8814001,0.42024508,102,0.41907,0.42253
XRPUSD,1683857504063,0.42028,0.42027,0.42017,208498.69648993,0.42025202,127,0.41907,0.42253
XRPUSD,1683858720119,0.42122,0.42121,0.42114,222226.60682169,0.42031226,158,0.41907,0.42253
XRPUSD,1683859937668,0.42003,0.41999,0.41951,246328.0234662,0.42013218,182,0.41809,0.42253
