pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"AVAXIDR",1684056788262,"223046.00000000","223398.00000000","224160.00000000","0.33360000","ACTIVE",1684056788262
"AVAXIDR",1684057156757,"223032.00000000","223481.00000000","224160.00000000","0.33360000","ACTIVE",1684057156757
"AVAXIDR",1684057330826,"223466.00000000","223703.00000000","224160.00000000","0.33360000","ACTIVE",1684057330826
"AVAXIDR",1684057572565,"223487.00000000","223703.00000000","224160.00000000","0.33360000","ACTIVE",1684057572565
"AVAXIDR",1684058552947,"223707.00000000","223876.00000000","224160.00000000","0.33360000","ACTIVE",1684058552947
"AVAXIDR",1684059888132,"223224.00000000","223434.00000000","224160.00000000","0.33360000","ACTIVE",1684059888132
"AVAXIDR",1684060911636,"223228.00000000","223414.00000000","224160.00000000","0.26760000","ACTIVE",1684060911636
"AVAXIDR",1684062137324,"223354.00000000","223528.00000000","224160.00000000","0.26760000","ACTIVE",1684062137324
"AVAXIDR",1684063321053,"223385.00000000","223518.00000000","224160.00000000","0.26760000","ACTIVE",1684063321053
"AVAXIDR",1684064542766,"223649.00000000","223650.00000000","224160.00000000","0.26760000","ACTIVE",1684064542766
"AVAXIDR",1684065765722,"223285.00000000","223413.00000000","224160.00000000","0.26760000","ACTIVE",1684065765722
"AVAXIDR",1684067350148,"223055.00000000","223258.00000000","224160.00000000","0.26760000","ACTIVE",1684067350148
"AVAXIDR",1684068377136,"223063.00000000","223064.00000000","224160.00000000","0.26760000","ACTIVE",1684068377136
"AVAXIDR",1684069353621,"223841.00000000","224011.00000000","224160.00000000","0.26760000","ACTIVE",1684069353621
"AVAXIDR",1684070590455,"223746.00000000","223884.00000000","224160.00000000","0.26760000","ACTIVE",1684070590455
"AVAXIDR",1684071722925,"223621.00000000","223754.00000000","224160.00000000","0.26760000","ACTIVE",1684071722925
"AVAXIDR",1684072971047,"224172.00000000","224232.00000000","224160.00000000","0.26760000","ACTIVE",1684072971047
"AVAXIDR",1684074192353,"224040.00000000","224074.00000000","224160.00000000","0.26760000","ACTIVE",1684074192353
"AVAXIDR",1684075319762,"223903.00000000","223904.00000000","224160.00000000","0.26760000","ACTIVE",1684075319762
"AVAXIDR",1684076540782,"224153.00000000","224154.00000000","224160.00000000","0.26760000","ACTIVE",1684076540782
"AVAXIDR",1684077767442,"225344.00000000","225447.00000000","224160.00000000","0.26760000","ACTIVE",1684077767442
"AVAXIDR",1684078932286,"225319.00000000","225320.00000000","224160.00000000","0.26760000","ACTIVE",1684078932286
"AVAXIDR",1684080177212,"225529.00000000","225777.00000000","224160.00000000","0.26760000","ACTIVE",1684080177212
"AVAXIDR",1684081564615,"224974.00000000","225096.00000000","224160.00000000","0.26760000","ACTIVE",1684081564615
"AVAXIDR",1684082541235,"224974.00000000","225058.00000000","224160.00000000","0.26760000","ACTIVE",1684082541235
"AVAXIDR",1684083736524,"224502.00000000","224503.00000000","224160.00000000","0.26760000","ACTIVE",1684083736524
"AVAXIDR",1684084979326,"223920.00000000","223921.00000000","224160.00000000","0.26760000","ACTIVE",1684084979326
"AVAXIDR",1684086124799,"224083.00000000","224084.00000000","224160.00000000","0.26760000","ACTIVE",1684086124799
"AVAXIDR",1684087393699,"223722.00000000","223723.00000000","224160.00000000","0.26760000","ACTIVE",1684087393699
"AVAXIDR",1684088679580,"223583.00000000","223584.00000000","224160.00000000","0.26760000","ACTIVE",1684088679580
"AVAXIDR",1684089730777,"223202.00000000","223203.00000000","224160.00000000","0.26760000","ACTIVE",1684089730777
"AVAXIDR",1684090956121,"222955.00000000","222980.00000000","224160.00000000","0.26760000","ACTIVE",1684090956121
"AVAXIDR",1684092135455,"222827.00000000","222952.00000000","224160.00000000","0.26760000","ACTIVE",1684092135455
"AVAXIDR",1684093326682,"221929.00000000","222380.00000000","224160.00000000","0.26760000","ACTIVE",1684093326682
"AVAXIDR",1684094556719,"222466.00000000","222497.00000000","224160.00000000","0.26760000","ACTIVE",1684094556719
"AVAXIDR",1684095780049,"222310.00000000","222315.00000000","224160.00000000","0.26760000","ACTIVE",1684095780049
"AVAXIDR",1684096913030,"222417.00000000","222729.00000000","224160.00000000","0.26760000","ACTIVE",1684096913030
"AVAXIDR",1684098151442,"222762.00000000","222864.00000000","224160.00000000","0.26760000","ACTIVE",1684098151442
"AVAXIDR",1684099346745,"223000.00000000","223121.00000000","224160.00000000","0.26760000","ACTIVE",1684099346745
"AVAXIDR",1684100522389,"223180.00000000","223181.00000000","224160.00000000","0.26760000","ACTIVE",1684100522389
"AVAXIDR",1684101735964,"223526.00000000","223527.00000000","224160.00000000","0.20090000","ACTIVE",1684101735964
"AVAXIDR",1684103019985,"223886.00000000","223918.00000000","224160.00000000","0.06710000","ACTIVE",1684103019985
"AVAXIDR",1684104131031,"224203.00000000","224204.00000000","224160.00000000","0.06710000","ACTIVE",1684104131031
