pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"BCHMYR",1684056783624,"511.00000000","514.00000000","514.00000000","36.14840000","ACTIVE",1684056783624
"BCHMYR",1684057152532,"511.00000000","514.00000000","514.00000000","36.05870000","ACTIVE",1684057152532
"BCHMYR",1684057325385,"511.00000000","514.00000000","514.00000000","36.02950000","ACTIVE",1684057325385
"BCHMYR",1684057567044,"511.00000000","514.00000000","514.00000000","36.02950000","ACTIVE",1684057567044
"BCHMYR",1684058548797,"511.00000000","514.00000000","514.00000000","35.63960000","ACTIVE",1684058548797
"BCHMYR",1684059883966,"511.00000000","513.00000000","510.00000000","35.65560000","ACTIVE",1684059883966
"BCHMYR",1684060908568,"511.00000000","513.00000000","510.00000000","35.65560000","ACTIVE",1684060908568
"BCHMYR",1684062133043,"511.00000000","514.00000000","510.00000000","35.55810000","ACTIVE",1684062133043
"BCHMYR",1684063317952,"511.00000000","514.00000000","510.00000000","35.55810000","ACTIVE",1684063317952
"BCHMYR",1684064538593,"511.00000000","514.00000000","514.00000000","35.75260000","ACTIVE",1684064538593
"BCHMYR",1684065760877,"511.00000000","514.00000000","511.00000000","35.77100000","ACTIVE",1684065760877
"BCHMYR",1684067347059,"511.00000000","513.00000000","511.00000000","35.76520000","ACTIVE",1684067347059
"BCHMYR",1684068374042,"511.00000000","514.00000000","511.00000000","35.73480000","ACTIVE",1684068374042
"BCHMYR",1684069350408,"513.00000000","514.00000000","514.00000000","35.41890000","ACTIVE",1684069350408
"BCHMYR",1684070586353,"513.00000000","514.00000000","513.00000000","36.29230000","ACTIVE",1684070586353
"BCHMYR",1684071718065,"513.00000000","514.00000000","513.00000000","29.98700000","ACTIVE",1684071718065
"BCHMYR",1684072966846,"515.00000000","518.00000000","514.00000000","31.02070000","ACTIVE",1684072966846
"BCHMYR",1684074189125,"517.00000000","519.00000000","520.00000000","33.83400000","ACTIVE",1684074189125
"BCHMYR",1684075316646,"517.00000000","519.00000000","517.00000000","31.19280000","ACTIVE",1684075316646
"BCHMYR",1684076537670,"517.00000000","519.00000000","517.00000000","30.67970000","ACTIVE",1684076537670
"BCHMYR",1684077764203,"516.00000000","519.00000000","518.00000000","30.18370000","ACTIVE",1684077764203
"BCHMYR",1684078928155,"517.00000000","519.00000000","519.00000000","31.25080000","ACTIVE",1684078928155
"BCHMYR",1684080171792,"517.00000000","519.00000000","519.00000000","26.53490000","ACTIVE",1684080171792
"BCHMYR",1684081561302,"517.00000000","518.00000000","519.00000000","26.57540000","ACTIVE",1684081561302
"BCHMYR",1684082537045,"515.00000000","517.00000000","515.00000000","34.17010000","ACTIVE",1684082537045
"BCHMYR",1684083733254,"515.00000000","516.00000000","515.00000000","34.17010000","ACTIVE",1684083733254
"BCHMYR",1684084976193,"515.00000000","517.00000000","515.00000000","34.29010000","ACTIVE",1684084976193
"BCHMYR",1684086119902,"515.00000000","518.00000000","517.00000000","34.32680000","ACTIVE",1684086119902
"BCHMYR",1684087388215,"515.00000000","517.00000000","517.00000000","34.33050000","ACTIVE",1684087388215
"BCHMYR",1684088675363,"515.00000000","517.00000000","515.00000000","36.59830000","ACTIVE",1684088675363
"BCHMYR",1684089726457,"515.00000000","518.00000000","518.00000000","36.60220000","ACTIVE",1684089726457
"BCHMYR",1684090952900,"515.00000000","518.00000000","518.00000000","36.69650000","ACTIVE",1684090952900
"BCHMYR",1684092129986,"514.00000000","516.00000000","516.00000000","36.70620000","ACTIVE",1684092129986
"BCHMYR",1684093322375,"514.00000000","515.00000000","516.00000000","36.70620000","ACTIVE",1684093322375
"BCHMYR",1684094551227,"514.00000000","515.00000000","516.00000000","36.70620000","ACTIVE",1684094551227
"BCHMYR",1684095776786,"514.00000000","515.00000000","516.00000000","35.71680000","ACTIVE",1684095776786
"BCHMYR",1684096909937,"514.00000000","516.00000000","516.00000000","35.71680000","ACTIVE",1684096909937
