pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"ETHMYR",1684056790460,"8116.00000000","8119.00000000","8116.00000000","81.53340000","ACTIVE",1684056790460
"ETHMYR",1684057158768,"8115.00000000","8120.00000000","8116.00000000","81.48140000","ACTIVE",1684057158768
"ETHMYR",1684057333348,"8115.00000000","8116.00000000","8116.00000000","81.48140000","ACTIVE",1684057333348
"ETHMYR",1684057575105,"8115.00000000","8118.00000000","8116.00000000","81.60420000","ACTIVE",1684057575105
"ETHMYR",1684058554945,"8115.00000000","8118.00000000","8118.00000000","76.74870000","ACTIVE",1684058554945
"ETHMYR",1684059890125,"8114.00000000","8115.00000000","8115.00000000","76.57420000","ACTIVE",1684059890125
"ETHMYR",1684060913163,"8114.00000000","8115.00000000","8114.00000000","76.39490000","ACTIVE",1684060913163
"ETHMYR",1684062139378,"8114.00000000","8116.00000000","8115.00000000","76.32380000","ACTIVE",1684062139378
"ETHMYR",1684063322588,"8114.00000000","8115.00000000","8114.00000000","75.92930000","ACTIVE",1684063322588
"ETHMYR",1684064544745,"8115.00000000","8116.00000000","8116.00000000","76.62210000","ACTIVE",1684064544745
"ETHMYR",1684065767975,"8114.00000000","8115.00000000","8114.00000000","77.54890000","ACTIVE",1684065767975
"ETHMYR",1684067351703,"8084.00000000","8102.00000000","8080.00000000","80.17460000","ACTIVE",1684067351703
