pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"ETHZAR",1683644376000,"35004.00000000","35073.00000000","35000.00000000","286.66718800","ACTIVE",1683644376000
"ETHZAR",1683644424701,"35018.00000000","35081.00000000","35072.00000000","261.61928400","ACTIVE",1683644424701
"ETHZAR",1683645856705,"34996.00000000","35088.00000000","35030.00000000","254.19500200","ACTIVE",1683645856705
"ETHZAR",1683645891534,"35007.00000000","35082.00000000","35030.00000000","254.19500200","ACTIVE",1683645891534
"ETHZAR",1683659548264,"35093.00000000","35218.00000000","35197.00000000","264.22035900","ACTIVE",1683659548264
"ETHZAR",1683663804150,"35227.00000000","35257.00000000","35287.00000000","282.58352500","ACTIVE",1683663804150
"ETHZAR",1683678727738,"35186.00000000","35303.00000000","35280.00000000","302.90879500","ACTIVE",1683678727738
"ETHZAR",1683692720954,"35031.00000000","35057.00000000","35060.00000000","298.68002400","ACTIVE",1683692720954
"ETHZAR",1683707143898,"35260.00000000","35312.00000000","35255.00000000","278.20112800","ACTIVE",1683707143898
"ETHZAR",1683721782488,"35209.00000000","35281.00000000","35257.00000000","251.18309400","ACTIVE",1683721782488
"ETHZAR",1683750432811,"35618.00000000","35676.00000000","35677.00000000","357.28544800","ACTIVE",1683750432811
"ETHZAR",1683765185357,"35281.00000000","35325.00000000","35362.00000000","355.33829200","ACTIVE",1683765185357
"ETHZAR",1683779098527,"35252.00000000","35256.00000000","35257.00000000","381.72517000","ACTIVE",1683779098527
"ETHZAR",1683793528547,"35198.00000000","35297.00000000","35180.00000000","401.37102500","ACTIVE",1683793528547
"ETHZAR",1683808170473,"35327.00000000","35391.00000000","35391.00000000","380.69503300","ACTIVE",1683808170473
"ETHZAR",1683822413034,"35244.00000000","35356.00000000","35284.00000000","334.98267900","ACTIVE",1683822413034
"ETHZAR",1683836614308,"34920.00000000","34991.00000000","34993.00000000","284.03926500","ACTIVE",1683836614308
"ETHZAR",1683851548107,"35011.00000000","35054.00000000","35092.00000000","292.35757500","ACTIVE",1683851548107
