pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"LTCXBT",1684056787237,"0.00301200","0.00301500","0.00301100","153.91000000","ACTIVE",1684056787237
"LTCXBT",1684057155835,"0.00301400","0.00301700","0.00301500","154.78000000","ACTIVE",1684057155835
"LTCXBT",1684057329607,"0.00301400","0.00301600","0.00301500","154.80000000","ACTIVE",1684057329607
"LTCXBT",1684057571336,"0.00301400","0.00301600","0.00301600","154.15000000","ACTIVE",1684057571336
"LTCXBT",1684058552032,"0.00301300","0.00301500","0.00301400","153.41000000","ACTIVE",1684058552032
"LTCXBT",1684059887224,"0.00301000","0.00301100","0.00301100","153.31000000","ACTIVE",1684059887224
"LTCXBT",1684060910984,"0.00301200","0.00301500","0.00301500","155.92000000","ACTIVE",1684060910984
"LTCXBT",1684062136383,"0.00301800","0.00302100","0.00302100","153.71000000","ACTIVE",1684062136383
"LTCXBT",1684063320399,"0.00301800","0.00301900","0.00301900","151.84000000","ACTIVE",1684063320399
"LTCXBT",1684064541870,"0.00301400","0.00301600","0.00301400","151.65000000","ACTIVE",1684064541870
"LTCXBT",1684065764637,"0.00301600","0.00301800","0.00301700","152.15000000","ACTIVE",1684065764637
"LTCXBT",1684067349496,"0.00301700","0.00302000","0.00301700","152.45000000","ACTIVE",1684067349496
"LTCXBT",1684068376487,"0.00303200","0.00303300","0.00303200","155.74000000","ACTIVE",1684068376487
"LTCXBT",1684069352949,"0.00304000","0.00304300","0.00304300","162.93000000","ACTIVE",1684069352949
"LTCXBT",1684070589556,"0.00304700","0.00304800","0.00304700","163.37000000","ACTIVE",1684070589556
"LTCXBT",1684071721869,"0.00304000","0.00304200","0.00304200","161.77000000","ACTIVE",1684071721869
"LTCXBT",1684072970123,"0.00303600","0.00304000","0.00303600","163.52000000","ACTIVE",1684072970123
"LTCXBT",1684074191660,"0.00304100","0.00304400","0.00304200","159.90000000","ACTIVE",1684074191660
"LTCXBT",1684075319097,"0.00303900","0.00304100","0.00303800","152.05000000","ACTIVE",1684075319097
"LTCXBT",1684076540120,"0.00304000","0.00304200","0.00304000","146.00000000","ACTIVE",1684076540120
"LTCXBT",1684077766749,"0.00305300","0.00305400","0.00305300","189.49000000","ACTIVE",1684077766749
"LTCXBT",1684078931382,"0.00305700","0.00305900","0.00305700","194.91000000","ACTIVE",1684078931382
"LTCXBT",1684080175988,"0.00309200","0.00309400","0.00309500","206.58000000","ACTIVE",1684080175988
"LTCXBT",1684081563944,"0.00306900","0.00307200","0.00306400","200.67000000","ACTIVE",1684081563944
"LTCXBT",1684082540304,"0.00306900","0.00307100","0.00307100","198.61000000","ACTIVE",1684082540304
"LTCXBT",1684083735835,"0.00307000","0.00307100","0.00306800","210.86000000","ACTIVE",1684083735835
"LTCXBT",1684084978663,"0.00308400","0.00308500","0.00308600","212.41000000","ACTIVE",1684084978663
"LTCXBT",1684086123714,"0.00308000","0.00308200","0.00308200","208.15000000","ACTIVE",1684086123714
"LTCXBT",1684087392474,"0.00307900","0.00308100","0.00307900","207.12000000","ACTIVE",1684087392474
"LTCXBT",1684088678642,"0.00307800","0.00308100","0.00307600","205.56000000","ACTIVE",1684088678642
"LTCXBT",1684089729821,"0.00307500","0.00307800","0.00307800","205.67000000","ACTIVE",1684089729821
"LTCXBT",1684090955443,"0.00307200","0.00307500","0.00307300","204.52000000","ACTIVE",1684090955443
"LTCXBT",1684092134235,"0.00306600","0.00306700","0.00306600","208.69000000","ACTIVE",1684092134235
"LTCXBT",1684093325730,"0.00306600","0.00306900","0.00306600","215.20000000","ACTIVE",1684093325730
"LTCXBT",1684094555480,"0.00306600","0.00306800","0.00306800","215.60000000","ACTIVE",1684094555480
"LTCXBT",1684095779344,"0.00306100","0.00306400","0.00306100","215.85000000","ACTIVE",1684095779344
"LTCXBT",1684096912355,"0.00306300","0.00306600","0.00306600","214.29000000","ACTIVE",1684096912355
"LTCXBT",1684098150541,"0.00306400","0.00306600","0.00306200","214.17000000","ACTIVE",1684098150541
"LTCXBT",1684099345803,"0.00307100","0.00307400","0.00307400","214.23000000","ACTIVE",1684099345803
"LTCXBT",1684100521290,"0.00307600","0.00307800","0.00307200","214.25000000","ACTIVE",1684100521290
"LTCXBT",1684101734992,"0.00307600","0.00308000","0.00307800","214.75000000","ACTIVE",1684101734992
"LTCXBT",1684103019322,"0.00308500","0.00308700","0.00308100","215.04000000","ACTIVE",1684103019322
"LTCXBT",1684104130116,"0.00310500","0.00310900","0.00310300","233.03000000","ACTIVE",1684104130116
"LTCXBT",1684105365923,"0.00309700","0.00309900","0.00309900","232.70000000","ACTIVE",1684105365923
"LTCXBT",1684106611575,"0.00309500","0.00309600","0.00309200","234.22000000","ACTIVE",1684106611575
"LTCXBT",1684107736268,"0.00309600","0.00309800","0.00309600","237.63000000","ACTIVE",1684107736268
"LTCXBT",1684109164503,"0.00310900","0.00311300","0.00311000","246.80000000","ACTIVE",1684109164503
"LTCXBT",1684110764468,"0.00310700","0.00310800","0.00310600","261.38000000","ACTIVE",1684110764468
"LTCXBT",1684112458949,"0.00308700","0.00308800","0.00308700","356.88000000","ACTIVE",1684112458949
"LTCXBT",1684114607931,"0.00311200","0.00311400","0.00310600","362.77000000","ACTIVE",1684114607931
"LTCXBT",1684116177194,"0.00311300","0.00311400","0.00310700","368.04000000","ACTIVE",1684116177194
"LTCXBT",1684117880045,"0.00311400","0.00311600","0.00311700","376.74000000","ACTIVE",1684117880045
"LTCXBT",1684118730236,"0.00311800","0.00312200","0.00313000","377.46000000","ACTIVE",1684118730236
"LTCXBT",1684119756690,"0.00311800","0.00312100","0.00311800","377.55000000","ACTIVE",1684119756690
"LTCXBT",1684121021005,"0.00312900","0.00313300","0.00312800","373.81000000","ACTIVE",1684121021005
"LTCXBT",1684122135968,"0.00313200","0.00313500","0.00313500","374.34000000","ACTIVE",1684122135968
"LTCXBT",1684123392238,"0.00313300","0.00313800","0.00313800","375.86000000","ACTIVE",1684123392238
"LTCXBT",1684124720191,"0.00315400","0.00315600","0.00315200","455.28000000","ACTIVE",1684124720191
"LTCXBT",1684125719092,"0.00316900","0.00317200","0.00317000","466.05000000","ACTIVE",1684125719092
"LTCXBT",1684126948387,"0.00316500","0.00316800","0.00316200","467.90000000","ACTIVE",1684126948387
"LTCXBT",1684128251007,"0.00318000","0.00318100","0.00318000","472.95000000","ACTIVE",1684128251007
"LTCXBT",1684129359685,"0.00316300","0.00317400","0.00317000","488.76000000","ACTIVE",1684129359685
"LTCXBT",1684130584956,"0.00318500","0.00319300","0.00319500","555.53000000","ACTIVE",1684130584956
"LTCXBT",1684132941638,"0.00316400","0.00317000","0.00316700","605.40000000","ACTIVE",1684132941638
"LTCXBT",1684134160652,"0.00316100","0.00316500","0.00316000","609.87000000","ACTIVE",1684134160652
"LTCXBT",1684135384739,"0.00317100","0.00317300","0.00317300","621.35000000","ACTIVE",1684135384739
"LTCXBT",1684136529343,"0.00318200","0.00318600","0.00318800","624.40000000","ACTIVE",1684136529343
"LTCXBT",1684137763968,"0.00315900","0.00318500","0.00317800","631.54000000","ACTIVE",1684137763968
"LTCXBT",1684139141342,"0.00319200","0.00319400","0.00319300","626.06000000","ACTIVE",1684139141342
"LTCXBT",1684140122973,"0.00317900","0.00318500","0.00318000","626.66000000","ACTIVE",1684140122973
"LTCXBT",1684141355447,"0.00317700","0.00318000","0.00318100","634.14000000","ACTIVE",1684141355447
"LTCXBT",1684142608021,"0.00318500","0.00318800","0.00318800","637.69000000","ACTIVE",1684142608021
"LTCXBT",1684143719721,"0.00318000","0.00318300","0.00318000","638.78000000","ACTIVE",1684143719721
"LTCXBT",1684144946687,"0.00317700","0.00317900","0.00317700","647.14000000","ACTIVE",1684144946687
"LTCXBT",1684146333501,"0.00316100","0.00316700","0.00316500","647.43000000","ACTIVE",1684146333501
"LTCXBT",1684147322819,"0.00316300","0.00316800","0.00316600","656.01000000","ACTIVE",1684147322819
"LTCXBT",1684148549175,"0.00317200","0.00317600","0.00317200","656.76000000","ACTIVE",1684148549175
"LTCXBT",1684149720937,"0.00317200","0.00317500","0.00316800","675.36000000","ACTIVE",1684149720937
"LTCXBT",1684150936161,"0.00316100","0.00316900","0.00316800","673.86000000","ACTIVE",1684150936161
"LTCXBT",1684152206814,"0.00316600","0.00317200","0.00317100","673.85000000","ACTIVE",1684152206814
"LTCXBT",1684153778169,"0.00316100","0.00316600","0.00316100","692.86000000","ACTIVE",1684153778169
"LTCXBT",1684154915349,"0.00316700","0.00317100","0.00316700","692.08000000","ACTIVE",1684154915349
"LTCXBT",1684155881600,"0.00316700","0.00317200","0.00317200","690.76000000","ACTIVE",1684155881600
"LTCXBT",1684157131087,"0.00318100","0.00318400","0.00318100","689.30000000","ACTIVE",1684157131087
"LTCXBT",1684158121102,"0.00318100","0.00318500","0.00318600","760.13000000","ACTIVE",1684158121102
"LTCXBT",1684159335420,"0.00316800","0.00317300","0.00317600","758.42000000","ACTIVE",1684159335420
"LTCXBT",1684160662761,"0.00317100","0.00317700","0.00317300","762.77000000","ACTIVE",1684160662761
"LTCXBT",1684161749887,"0.00321600","0.00322300","0.00321700","771.25000000","ACTIVE",1684161749887
"LTCXBT",1684162945905,"0.00320800","0.00320900","0.00320500","782.32000000","ACTIVE",1684162945905
"LTCXBT",1684164240838,"0.00321200","0.00321300","0.00321300","746.59000000","ACTIVE",1684164240838
"LTCXBT",1684165331478,"0.00320900","0.00321300","0.00321300","742.80000000","ACTIVE",1684165331478
"LTCXBT",1684166554372,"0.00322300","0.00322400","0.00322100","739.14000000","ACTIVE",1684166554372
"LTCXBT",1684167982089,"0.00320900","0.00321400","0.00321200","731.35000000","ACTIVE",1684167982089
"LTCXBT",1684168919231,"0.00320500","0.00320700","0.00320700","738.79000000","ACTIVE",1684168919231
"LTCXBT",1684170157206,"0.00319700","0.00320000","0.00319800","727.43000000","ACTIVE",1684170157206
"LTCXBT",1684171423569,"0.00319500","0.00319700","0.00319300","726.79000000","ACTIVE",1684171423569
"LTCXBT",1684172517272,"0.00319900","0.00320200","0.00320200","729.72000000","ACTIVE",1684172517272
"LTCXBT",1684173763546,"0.00319600","0.00320100","0.00319500","729.72000000","ACTIVE",1684173763546
"LTCXBT",1684175128263,"0.00321000","0.00321500","0.00321000","742.02000000","ACTIVE",1684175128263
"LTCXBT",1684176126551,"0.00320000","0.00320200","0.00320300","742.20000000","ACTIVE",1684176126551
"LTCXBT",1684177341834,"0.00320700","0.00321000","0.00321000","744.46000000","ACTIVE",1684177341834
"LTCXBT",1684178516078,"0.00320700","0.00320900","0.00320900","736.90000000","ACTIVE",1684178516078
"LTCXBT",1684179721708,"0.00320300","0.00320500","0.00320500","802.28000000","ACTIVE",1684179721708
"LTCXBT",1684180943035,"0.00320800","0.00321100","0.00320800","802.81000000","ACTIVE",1684180943035
"LTCXBT",1684182217162,"0.00321600","0.00321800","0.00321800","806.95000000","ACTIVE",1684182217162
"LTCXBT",1684183317788,"0.00320900","0.00321200","0.00320900","807.59000000","ACTIVE",1684183317788
"LTCXBT",1684184555471,"0.00320600","0.00320900","0.00320600","808.74000000","ACTIVE",1684184555471
"LTCXBT",1684185718918,"0.00320900","0.00321100","0.00321000","810.95000000","ACTIVE",1684185718918
"LTCXBT",1684186925918,"0.00320100","0.00320400","0.00320100","813.49000000","ACTIVE",1684186925918
"LTCXBT",1684188167766,"0.00320200","0.00320300","0.00319900","814.38000000","ACTIVE",1684188167766
"LTCXBT",1684189458588,"0.00320900","0.00321200","0.00320900","814.91000000","ACTIVE",1684189458588
"LTCXBT",1684190545189,"0.00320300","0.00320600","0.00320600","797.12000000","ACTIVE",1684190545189
"LTCXBT",1684191729690,"0.00320300","0.00320600","0.00320300","797.05000000","ACTIVE",1684191729690
"LTCXBT",1684192964065,"0.00321100","0.00321300","0.00321000","802.56000000","ACTIVE",1684192964065
"LTCXBT",1684194115007,"0.00319900","0.00320200","0.00319900","799.89000000","ACTIVE",1684194115007
"LTCXBT",1684195544388,"0.00320700","0.00321000","0.00321000","793.79000000","ACTIVE",1684195544388
"LTCXBT",1684197160760,"0.00320000","0.00320300","0.00320000","793.96000000","ACTIVE",1684197160760
"LTCXBT",1684198827901,"0.00319900","0.00320100","0.00320000","720.46000000","ACTIVE",1684198827901
"LTCXBT",1684200995125,"0.00320900","0.00321200","0.00321300","747.31000000","ACTIVE",1684200995125
