pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"SOLZAR",1684056785749,"410.68000000","413.93000000","413.90000000","1322.64490000","ACTIVE",1684056785749
"SOLZAR",1684057154492,"410.68000000","413.93000000","413.90000000","1322.40500000","ACTIVE",1684057154492
"SOLZAR",1684057327891,"410.72000000","413.90000000","413.90000000","1322.22510000","ACTIVE",1684057327891
"SOLZAR",1684057569570,"410.76000000","413.87000000","413.90000000","1322.22510000","ACTIVE",1684057569570
"SOLZAR",1684058550705,"410.90000000","413.71000000","413.71000000","1028.36420000","ACTIVE",1684058550705
"SOLZAR",1684059885896,"411.70000000","413.78000000","413.71000000","1027.46650000","ACTIVE",1684059885896
"SOLZAR",1684060909984,"410.04000000","413.80000000","413.71000000","1027.36680000","ACTIVE",1684060909984
"SOLZAR",1684062135001,"411.87000000","413.78000000","411.75000000","1002.88150000","ACTIVE",1684062135001
"SOLZAR",1684063319383,"411.30000000","413.81000000","410.34000000","1004.10050000","ACTIVE",1684063319383
"SOLZAR",1684064540529,"411.19000000","413.81000000","411.90000000","1013.84530000","ACTIVE",1684064540529
"SOLZAR",1684065763096,"410.02000000","412.08000000","411.38000000","1019.45520000","ACTIVE",1684065763096
"SOLZAR",1684067348486,"409.00000000","410.42000000","410.00000000","1008.30390000","ACTIVE",1684067348486
"SOLZAR",1684068375483,"409.02000000","412.59000000","410.00000000","1008.30390000","ACTIVE",1684068375483
"SOLZAR",1684069351908,"410.35000000","412.98000000","412.98000000","679.97370000","ACTIVE",1684069351908
"SOLZAR",1684070588232,"409.59000000","412.96000000","412.98000000","677.23260000","ACTIVE",1684070588232
"SOLZAR",1684071720199,"411.04000000","412.79000000","412.93000000","605.97350000","ACTIVE",1684071720199
"SOLZAR",1684072968774,"411.05000000","412.98000000","412.92000000","625.40620000","ACTIVE",1684072968774
"SOLZAR",1684074190611,"411.36000000","412.92000000","412.92000000","607.12100000","ACTIVE",1684074190611
"SOLZAR",1684075318082,"411.35000000","412.84000000","412.92000000","604.12100000","ACTIVE",1684075318082
"SOLZAR",1684076539106,"411.26000000","412.98000000","412.92000000","556.41720000","ACTIVE",1684076539106
"SOLZAR",1684077765701,"412.80000000","414.49000000","414.49000000","674.44560000","ACTIVE",1684077765701
"SOLZAR",1684078930065,"413.03000000","414.49000000","413.01000000","677.44560000","ACTIVE",1684078930065
"SOLZAR",1684080174274,"412.06000000","414.48000000","413.01000000","677.44560000","ACTIVE",1684080174274
"SOLZAR",1684081562891,"412.40000000","414.21000000","412.73000000","673.49700000","ACTIVE",1684081562891
"SOLZAR",1684082538958,"411.84000000","414.32000000","412.73000000","673.25250000","ACTIVE",1684082538958
"SOLZAR",1684083734765,"411.01000000","414.01000000","411.00000000","687.75210000","ACTIVE",1684083734765
"SOLZAR",1684084977617,"411.09000000","412.98000000","411.07000000","692.43610000","ACTIVE",1684084977617
"SOLZAR",1684086122164,"411.01000000","411.74000000","411.07000000","687.12240000","ACTIVE",1684086122164
"SOLZAR",1684087390723,"411.00000000","412.46000000","411.01000000","688.32240000","ACTIVE",1684087390723
"SOLZAR",1684088677288,"409.01000000","412.34000000","409.01000000","955.14110000","ACTIVE",1684088677288
"SOLZAR",1684089728433,"409.29000000","412.02000000","412.26000000","934.45990000","ACTIVE",1684089728433
"SOLZAR",1684090954387,"409.03000000","413.47000000","410.00000000","925.95970000","ACTIVE",1684090954387
"SOLZAR",1684092132502,"409.01000000","410.58000000","410.70000000","963.64350000","ACTIVE",1684092132502
"SOLZAR",1684093324365,"409.01000000","411.01000000","409.02000000","977.66350000","ACTIVE",1684093324365
"SOLZAR",1684094553738,"409.01000000","409.55000000","409.02000000","977.66350000","ACTIVE",1684094553738
"SOLZAR",1684095778293,"408.00000000","408.73000000","408.43000000","998.22350000","ACTIVE",1684095778293
"SOLZAR",1684096911343,"408.01000000","408.92000000","408.43000000","982.83980000","ACTIVE",1684096911343
"SOLZAR",1684098149226,"408.01000000","408.70000000","408.56000000","968.85740000","ACTIVE",1684098149226
