pair,timestamp,bid,ask,last_trade,rolling_24_hour_volume,status,client_timestamp
"XBTUSDC",1684056790849,"26678.34000000","26897.02000000","26800.00000000","0.14620000","ACTIVE",1684056790849
"XBTUSDC",1684057159121,"26689.75000000","26907.04000000","26800.00000000","0.14410000","ACTIVE",1684057159121
"XBTUSDC",1684057333803,"26696.23000000","26903.90000000","26800.00000000","0.14410000","ACTIVE",1684057333803
"XBTUSDC",1684057575566,"26705.22000000","26909.18000000","26800.00000000","0.14410000","ACTIVE",1684057575566
"XBTUSDC",1684058555280,"26737.72000000","26908.25000000","26800.00000000","0.14410000","ACTIVE",1684058555280
"XBTUSDC",1684059890467,"26780.14000000","26904.97000000","26800.00000000","0.14410000","ACTIVE",1684059890467
"XBTUSDC",1684060913405,"26803.62000000","26904.40000000","26800.00000000","0.14410000","ACTIVE",1684060913405
"XBTUSDC",1684062139733,"26661.06000000","26907.72000000","26800.00000000","0.14410000","ACTIVE",1684062139733
"XBTUSDC",1684063322839,"26700.76000000","26888.94000000","26800.00000000","0.14410000","ACTIVE",1684063322839
"XBTUSDC",1684064545094,"26742.58000000","26888.04000000","26800.00000000","0.14410000","ACTIVE",1684064545094
"XBTUSDC",1684065768371,"26631.38000000","26888.07000000","26800.00000000","0.14410000","ACTIVE",1684065768371
"XBTUSDC",1684067351944,"26683.14000000","26860.00000000","26800.00000000","0.14410000","ACTIVE",1684067351944
"XBTUSDC",1684068378920,"26714.15000000","26866.16000000","26800.00000000","0.14410000","ACTIVE",1684068378920
"XBTUSDC",1684069355439,"26741.32000000","26875.32000000","26800.00000000","0.18030000","ACTIVE",1684069355439
"XBTUSDC",1684070592749,"26775.74000000","26910.30000000","26875.32000000","0.18370000","ACTIVE",1684070592749
"XBTUSDC",1684071725494,"26635.10000000","26910.30000000","26789.59000000","0.25770000","ACTIVE",1684071725494
"XBTUSDC",1684072973392,"26649.63000000","26971.87000000","26910.31000000","0.26630000","ACTIVE",1684072973392
"XBTUSDC",1684074194213,"26684.83000000","26971.80000000","26910.31000000","0.26650000","ACTIVE",1684074194213
"XBTUSDC",1684075321543,"26712.83000000","26971.73000000","26910.31000000","0.26450000","ACTIVE",1684075321543
"XBTUSDC",1684076542565,"26745.43000000","26971.86000000","26910.31000000","0.26050000","ACTIVE",1684076542565
"XBTUSDC",1684077769282,"26666.24000000","27211.02000000","27011.35000000","0.39470000","ACTIVE",1684077769282
"XBTUSDC",1684078934600,"26696.34000000","27176.80000000","27011.35000000","0.39310000","ACTIVE",1684078934600
"XBTUSDC",1684080180171,"26724.05000000","27145.81000000","27011.35000000","0.39310000","ACTIVE",1684080180171
"XBTUSDC",1684081566435,"26758.77000000","27188.01000000","27011.35000000","0.39220000","ACTIVE",1684081566435
"XBTUSDC",1684082543570,"26784.54000000","27159.03000000","27011.35000000","0.39220000","ACTIVE",1684082543570
"XBTUSDC",1684083738399,"26766.46000000","27127.19000000","27011.35000000","0.39220000","ACTIVE",1684083738399
"XBTUSDC",1684084981122,"26794.89000000","27186.57000000","27205.10000000","0.44830000","ACTIVE",1684084981122
"XBTUSDC",1684086127501,"26828.11000000","27154.56000000","27205.10000000","0.44830000","ACTIVE",1684086127501
"XBTUSDC",1684087396704,"26866.42000000","27130.54000000","27205.10000000","0.44830000","ACTIVE",1684087396704
"XBTUSDC",1684088681936,"26899.92000000","26900.00000000","26899.93000000","0.47390000","ACTIVE",1684088681936
"XBTUSDC",1684089733191,"26899.92000000","26899.93000000","26899.93000000","0.48060000","ACTIVE",1684089733191
"XBTUSDC",1684090957956,"26833.04000000","26899.93000000","26899.92000000","0.48410000","ACTIVE",1684090957956
"XBTUSDC",1684092138443,"26821.27000000","26899.93000000","26899.92000000","0.48410000","ACTIVE",1684092138443
"XBTUSDC",1684093329086,"26821.00000000","26895.92000000","26897.37000000","0.44530000","ACTIVE",1684093329086
"XBTUSDC",1684094559742,"26821.00000000","26896.56000000","26897.37000000","0.42030000","ACTIVE",1684094559742
"XBTUSDC",1684095781903,"26821.08000000","26897.28000000","26897.37000000","0.42030000","ACTIVE",1684095781903
"XBTUSDC",1684096914793,"26842.90000000","26897.37000000","26897.37000000","0.42030000","ACTIVE",1684096914793
"XBTUSDC",1684098153755,"26825.45000000","26967.57000000","26859.54000000","0.44910000","ACTIVE",1684098153755
"XBTUSDC",1684099349157,"26858.92000000","26967.11000000","26859.54000000","0.44910000","ACTIVE",1684099349157
"XBTUSDC",1684100524739,"26823.14000000","26899.92000000","26859.54000000","0.44910000","ACTIVE",1684100524739
"XBTUSDC",1684101738416,"26821.18000000","26899.83000000","26900.00000000","0.45650000","ACTIVE",1684101738416
"XBTUSDC",1684103021752,"26839.38000000","26900.00000000","26900.00000000","0.45650000","ACTIVE",1684103021752
"XBTUSDC",1684104133342,"26822.82000000","26899.83000000","26900.00000000","0.45650000","ACTIVE",1684104133342
"XBTUSDC",1684105368411,"26829.81000000","26899.92000000","26900.00000000","0.45360000","ACTIVE",1684105368411
"XBTUSDC",1684106614849,"26824.27000000","26898.99000000","26893.48000000","0.46550000","ACTIVE",1684106614849
"XBTUSDC",1684107740503,"26826.60000000","26899.00000000","26860.00000000","0.52700000","ACTIVE",1684107740503
"XBTUSDC",1684109167763,"26843.96000000","26899.00000000","26899.00000000","0.66540000","ACTIVE",1684109167763
"XBTUSDC",1684110767681,"26634.41000000","26794.18000000","26821.00000000","0.68180000","ACTIVE",1684110767681
"XBTUSDC",1684112463316,"26655.99000000","26786.51000000","26783.05000000","0.67720000","ACTIVE",1684112463316
"XBTUSDC",1684114610358,"26917.08000000","27187.92000000","27000.00000000","0.71300000","ACTIVE",1684114610358
"XBTUSDC",1684116179733,"26953.20000000","27336.89000000","27205.10000000","1.24870000","ACTIVE",1684116179733
"XBTUSDC",1684117883315,"27001.50000000","27193.02000000","27199.32000000","1.24930000","ACTIVE",1684117883315
"XBTUSDC",1684118733820,"27021.94000000","27324.97000000","27199.32000000","1.24930000","ACTIVE",1684118733820
"XBTUSDC",1684119759170,"27038.25000000","27292.36000000","27199.32000000","1.24930000","ACTIVE",1684119759170
"XBTUSDC",1684121023537,"27056.87000000","27252.57000000","27199.32000000","1.24770000","ACTIVE",1684121023537
